"wv,m",B
4.57E-07,2.08E+03
4.58E-07,2.10E+03
4.59E-07,1.97E+03
4.60E-07,2.01E+03
4.61E-07,2.04E+03
4.62E-07,2.06E+03
4.63E-07,2.10E+03
4.64E-07,2.04E+03
4.65E-07,1.98E+03
4.66E-07,2.04E+03
4.67E-07,1.92E+03
4.68E-07,2.02E+03
4.69E-07,1.99E+03
4.70E-07,1.99E+03
4.71E-07,1.88E+03
4.72E-07,2.02E+03
4.73E-07,2.04E+03
4.74E-07,1.99E+03
4.75E-07,2.05E+03
4.76E-07,2.02E+03
4.77E-07,1.96E+03
4.78E-07,2.08E+03
4.79E-07,2.01E+03
4.80E-07,2.08E+03
4.81E-07,2.04E+03
4.82E-07,2.09E+03
4.83E-07,2.02E+03
4.84E-07,2.02E+03
4.85E-07,1.97E+03
4.86E-07,1.83E+03
4.87E-07,1.63E+03
4.88E-07,1.83E+03
4.89E-07,1.91E+03
4.90E-07,1.96E+03
4.91E-07,2.01E+03
4.92E-07,1.90E+03
4.93E-07,1.90E+03
4.94E-07,1.89E+03
4.95E-07,2.06E+03
4.96E-07,1.93E+03
4.97E-07,2.02E+03
4.98E-07,2.02E+03
4.99E-07,1.87E+03
5.00E-07,1.97E+03
5.01E-07,1.86E+03
5.02E-07,1.81E+03
5.03E-07,1.89E+03
5.04E-07,1.93E+03
5.05E-07,1.87E+03
5.06E-07,1.99E+03
5.07E-07,1.96E+03
5.08E-07,1.91E+03
5.09E-07,1.92E+03
5.10E-07,1.92E+03
5.11E-07,1.95E+03
5.12E-07,2.00E+03
5.13E-07,1.87E+03
5.14E-07,1.86E+03
5.15E-07,1.87E+03
5.16E-07,1.90E+03
5.17E-07,1.67E+03
5.18E-07,1.73E+03
5.19E-07,1.65E+03
5.20E-07,1.83E+03
5.21E-07,1.83E+03
5.22E-07,1.91E+03
5.23E-07,1.82E+03
5.24E-07,1.89E+03
5.25E-07,1.96E+03
5.26E-07,1.93E+03
5.27E-07,1.67E+03
5.28E-07,1.83E+03
5.29E-07,1.90E+03
5.30E-07,1.92E+03
5.31E-07,1.95E+03
5.32E-07,1.96E+03
5.33E-07,1.77E+03
5.34E-07,1.92E+03
5.35E-07,1.86E+03
5.36E-07,1.99E+03
5.37E-07,1.87E+03
5.38E-07,1.88E+03
5.39E-07,1.90E+03
5.40E-07,1.83E+03
5.41E-07,1.77E+03
5.42E-07,1.88E+03
5.43E-07,1.83E+03
5.44E-07,1.88E+03
5.45E-07,1.88E+03
5.46E-07,1.90E+03
5.47E-07,1.88E+03
5.48E-07,1.83E+03
5.49E-07,1.86E+03
5.50E-07,1.90E+03
5.51E-07,1.86E+03
5.52E-07,1.87E+03
5.53E-07,1.85E+03
5.54E-07,1.88E+03
5.55E-07,1.90E+03
5.56E-07,1.90E+03
5.57E-07,1.82E+03
5.58E-07,1.85E+03
5.59E-07,1.79E+03
5.60E-07,1.81E+03
5.61E-07,1.84E+03
5.62E-07,1.82E+03
5.63E-07,1.85E+03
5.64E-07,1.86E+03
5.65E-07,1.85E+03
5.66E-07,1.80E+03
5.67E-07,1.83E+03
5.68E-07,1.89E+03
5.69E-07,1.81E+03
5.70E-07,1.86E+03
5.71E-07,1.77E+03
5.72E-07,1.82E+03
5.73E-07,1.89E+03
5.74E-07,1.88E+03
5.75E-07,1.87E+03
5.76E-07,1.83E+03
5.77E-07,1.85E+03
5.78E-07,1.86E+03
5.79E-07,1.78E+03
5.80E-07,1.83E+03
5.81E-07,1.84E+03
5.82E-07,1.85E+03
5.83E-07,1.87E+03
5.84E-07,1.86E+03
5.85E-07,1.86E+03
5.86E-07,1.78E+03
5.87E-07,1.83E+03
5.88E-07,1.85E+03
5.89E-07,1.75E+03
5.90E-07,1.61E+03
5.91E-07,1.81E+03
5.92E-07,1.79E+03
5.93E-07,1.81E+03
5.94E-07,1.80E+03
5.95E-07,1.77E+03
5.96E-07,1.78E+03
5.97E-07,1.81E+03
5.98E-07,1.78E+03
5.99E-07,1.76E+03
6.00E-07,1.77E+03
6.01E-07,1.75E+03
6.02E-07,1.75E+03
6.03E-07,1.72E+03
6.04E-07,1.79E+03
6.05E-07,1.78E+03
6.06E-07,1.76E+03
6.07E-07,1.76E+03
6.08E-07,1.76E+03
6.09E-07,1.74E+03
6.10E-07,1.74E+03
6.11E-07,1.70E+03
6.12E-07,1.75E+03
6.13E-07,1.71E+03
6.14E-07,1.68E+03
6.15E-07,1.71E+03
6.16E-07,1.71E+03
6.17E-07,1.61E+03
6.18E-07,1.71E+03
6.19E-07,1.72E+03
6.20E-07,1.71E+03
6.21E-07,1.73E+03
6.22E-07,1.69E+03
6.23E-07,1.71E+03
6.24E-07,1.67E+03
6.25E-07,1.66E+03
6.26E-07,1.63E+03
6.27E-07,1.70E+03
6.28E-07,1.70E+03
6.29E-07,1.70E+03
6.30E-07,1.68E+03
0.000000631,1.64E+03
0.000000633,1.65E+03
0.000000635,1.66E+03
0.000000637,1.65E+03
0.000000639,1.65E+03
0.000000641,1.61E+03
0.000000643,1.62E+03
0.000000645,1.63E+03
0.000000647,1.60E+03
0.000000649,1.56E+03
0.000000651,1.61E+03
0.000000653,1.60E+03
0.000000655,1.53E+03
0.000000657,1.38E+03
0.000000659,1.55E+03
0.000000661,1.57E+03
0.000000663,1.56E+03
0.000000665,1.56E+03
0.000000667,1.54E+03
0.000000669,1.55E+03
0.000000671,1.52E+03
0.000000673,1.52E+03
0.000000675,1.51E+03
0.000000677,1.51E+03
0.000000679,1.50E+03
0.000000681,1.49E+03
0.000000683,1.48E+03
0.000000685,1.46E+03
0.000000687,1.47E+03
0.000000689,1.46E+03
0.000000691,1.45E+03
0.000000693,1.45E+03
0.000000695,1.44E+03
0.000000697,1.42E+03
0.000000699,1.43E+03
0.000000701,1.39E+03
0.000000703,1.39E+03
0.000000705,1.42E+03
0.000000707,1.40E+03
0.000000709,1.38E+03
0.000000711,1.39E+03
0.000000713,1.37E+03
0.000000715,1.37E+03
0.000000717,1.35E+03
0.000000719,1.33E+03
0.000000721,1.33E+03
0.000000723,1.35E+03
0.000000725,1.35E+03
0.000000727,1.35E+03
0.000000729,1.32E+03
0.000000731,1.33E+03
0.000000733,1.32E+03
0.000000735,1.31E+03
0.000000737,1.31E+03
0.000000739,1.28E+03
0.000000741,1.26E+03
0.000000743,1.29E+03
0.000000745,1.28E+03
0.000000747,1.28E+03
0.000000749,1.27E+03
0.000000751,1.26E+03
0.000000753,1.26E+03
0.000000755,1.26E+03
0.000000757,1.25E+03
0.000000759,1.24E+03
0.000000761,1.24E+03
0.000000763,1.24E+03
0.000000765,1.22E+03
0.000000767,1.19E+03
0.000000769,1.20E+03
0.000000771,1.20E+03
0.000000773,1.21E+03
0.000000775,1.19E+03
0.000000777,1.20E+03
0.000000779,1.19E+03
0.000000781,1.19E+03
0.000000783,1.18E+03
